station_id,island,year,station_name,expected_days,n_rows,n_temp,n_prec,pct_temp,pct_prec,n_flags,use_for_annual
C018J,Lanzarote,2015,TÍAS,365,365,358,360,0.9808219178082191,0.9863013698630136,0,TRUE
C018J,Lanzarote,2016,TÍAS,366,366,365,365,0.9972677595628415,0.9972677595628415,0,TRUE
C018J,Lanzarote,2017,TÍAS,365,364,362,364,0.9917808219178083,0.9972602739726028,0,TRUE
C018J,Lanzarote,2018,TÍAS,365,363,363,362,0.9945205479452055,0.9917808219178083,0,TRUE
C018J,Lanzarote,2019,TÍAS,365,362,361,362,0.989041095890411,0.9917808219178083,0,TRUE
C018J,Lanzarote,2020,TÍAS,366,366,365,365,0.9972677595628415,0.9972677595628415,0,TRUE
C018J,Lanzarote,2021,TÍAS,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C018J,Lanzarote,2022,TÍAS,365,365,365,365,1,1,0,TRUE
C018J,Lanzarote,2023,TÍAS,365,364,363,344,0.9945205479452055,0.9424657534246575,0,TRUE
C018J,Lanzarote,2024,TÍAS,366,366,364,364,0.994535519125683,0.994535519125683,0,TRUE
C018J,Lanzarote,2025,TÍAS,365,365,362,363,0.9917808219178083,0.9945205479452055,0,TRUE
C019V,Lanzarote,2015,YAIZA PLAYA BLANCA,365,363,313,304,0.8575342465753425,0.8328767123287671,0,TRUE
C019V,Lanzarote,2016,YAIZA PLAYA BLANCA,366,366,365,365,0.9972677595628415,0.9972677595628415,0,TRUE
C019V,Lanzarote,2017,YAIZA PLAYA BLANCA,365,365,364,362,0.9972602739726028,0.9917808219178083,0,TRUE
C019V,Lanzarote,2018,YAIZA PLAYA BLANCA,365,365,365,365,1,1,0,TRUE
C019V,Lanzarote,2019,YAIZA PLAYA BLANCA,365,362,362,362,0.9917808219178083,0.9917808219178083,0,TRUE
C019V,Lanzarote,2020,YAIZA PLAYA BLANCA,366,366,366,366,1,1,0,TRUE
C019V,Lanzarote,2021,YAIZA PLAYA BLANCA,365,355,351,351,0.9616438356164384,0.9616438356164384,0,TRUE
C019V,Lanzarote,2022,YAIZA PLAYA BLANCA,365,365,365,361,1,0.989041095890411,0,TRUE
C019V,Lanzarote,2023,YAIZA PLAYA BLANCA,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C019V,Lanzarote,2024,YAIZA PLAYA BLANCA,366,366,366,366,1,1,0,TRUE
C019V,Lanzarote,2025,YAIZA PLAYA BLANCA,365,365,365,364,1,0.9972602739726028,0,TRUE
C029O,Lanzarote,2015,LANZAROTE AEROPUERTO,365,365,365,365,1,1,0,TRUE
C029O,Lanzarote,2016,LANZAROTE AEROPUERTO,366,366,362,366,0.9890710382513661,1,0,TRUE
C029O,Lanzarote,2017,LANZAROTE AEROPUERTO,365,365,365,365,1,1,0,TRUE
C029O,Lanzarote,2018,LANZAROTE AEROPUERTO,365,365,363,365,0.9945205479452055,1,0,TRUE
C029O,Lanzarote,2019,LANZAROTE AEROPUERTO,365,365,364,365,0.9972602739726028,1,0,TRUE
C029O,Lanzarote,2020,LANZAROTE AEROPUERTO,366,366,362,366,0.9890710382513661,1,0,TRUE
C029O,Lanzarote,2021,LANZAROTE AEROPUERTO,365,365,363,365,0.9945205479452055,1,0,TRUE
C029O,Lanzarote,2022,LANZAROTE AEROPUERTO,365,365,361,365,0.989041095890411,1,0,TRUE
C029O,Lanzarote,2023,LANZAROTE AEROPUERTO,365,365,364,365,0.9972602739726028,1,0,TRUE
C029O,Lanzarote,2024,LANZAROTE AEROPUERTO,366,366,366,366,1,1,0,TRUE
C029O,Lanzarote,2025,LANZAROTE AEROPUERTO,365,365,365,365,1,1,0,TRUE
C038N,Lanzarote,2015,HARÍA,365,365,357,353,0.9780821917808219,0.9671232876712329,0,TRUE
C038N,Lanzarote,2016,HARÍA,366,363,363,363,0.9918032786885246,0.9918032786885246,0,TRUE
C038N,Lanzarote,2017,HARÍA,365,363,358,361,0.9808219178082191,0.989041095890411,0,TRUE
C038N,Lanzarote,2018,HARÍA,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C038N,Lanzarote,2019,HARÍA,365,365,363,363,0.9945205479452055,0.9945205479452055,0,TRUE
C038N,Lanzarote,2020,HARÍA,366,366,364,364,0.994535519125683,0.994535519125683,0,TRUE
C038N,Lanzarote,2021,HARÍA,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C038N,Lanzarote,2022,HARÍA,365,365,363,363,0.9945205479452055,0.9945205479452055,0,TRUE
C038N,Lanzarote,2023,HARÍA,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C038N,Lanzarote,2024,HARÍA,366,365,360,364,0.9836065573770492,0.994535519125683,0,TRUE
C038N,Lanzarote,2025,HARÍA,365,365,364,363,0.9972602739726028,0.9945205479452055,0,TRUE
C048W,Lanzarote,2015,TINAJO,365,350,330,331,0.9041095890410958,0.9068493150684932,0,TRUE
C048W,Lanzarote,2016,TINAJO,366,363,360,359,0.9836065573770492,0.9808743169398907,0,TRUE
C048W,Lanzarote,2017,TINAJO,365,364,364,363,0.9972602739726028,0.9945205479452055,0,TRUE
C048W,Lanzarote,2018,TINAJO,365,365,364,365,0.9972602739726028,1,0,TRUE
C048W,Lanzarote,2019,TINAJO,365,364,356,355,0.9753424657534246,0.9726027397260274,0,TRUE
C048W,Lanzarote,2020,TINAJO,366,365,364,364,0.994535519125683,0.994535519125683,0,TRUE
C048W,Lanzarote,2021,TINAJO,365,363,363,363,0.9945205479452055,0.9945205479452055,0,TRUE
C048W,Lanzarote,2022,TINAJO,365,357,357,353,0.9780821917808219,0.9671232876712329,0,TRUE
C048W,Lanzarote,2023,TINAJO,365,365,364,364,0.9972602739726028,0.9972602739726028,0,TRUE
C048W,Lanzarote,2024,TINAJO,366,364,363,363,0.9918032786885246,0.9918032786885246,0,TRUE
C048W,Lanzarote,2025,TINAJO,365,365,364,362,0.9972602739726028,0.9917808219178083,0,TRUE
C117A,La Palma,2015,PUNTAGORDA,365,365,364,365,0.9972602739726028,1,0,TRUE
C117A,La Palma,2016,PUNTAGORDA,366,366,365,366,0.9972677595628415,1,0,TRUE
