variable,missing_pct
ods_15_1_2_A,0.7272727272727273
ods_15_1_2_B,0.7272727272727273
ods_15_1_2_C,0.7272727272727273
ods_15_1_2_D,0.7272727272727273
ods_15_1_2_E,0.7272727272727273
ods_15_1_2_F,0.7272727272727273
ods_15_1_2_G,0.7272727272727273
ods_15_4_1_A,0.7272727272727273
ods_15_4_1_B,0.7272727272727273
ods_15_4_1_C,0.7272727272727273
ods_15_4_1_D,0.7272727272727273
ods_15_4_1_E,0.7272727272727273
ods_15_4_1_F,0.7272727272727273
ods_15_4_1_G,0.7272727272727273
ods_15_4_2,0.7272727272727273
ods_13_2_2_A,0.36363636363636365
ods_13_2_2_B,0.36363636363636365
ods_13_2_2_C,0.36363636363636365
ods_13_2_2_D,0.36363636363636365
ods_15_1_1,0.36363636363636365
ods_7_3_1,0.2727272727272727
ods_15_2_1_A,0.2727272727272727
ods_7_2_1,0.18181818181818182
ods_13_1_1,0.18181818181818182
ods_15_2_1_B,0.18181818181818182
ods_14_3_1,0.09090909090909091
ods_15_8_1,0.09090909090909091
year,0
n_islands,0
tmed_mean,0
tmin_mean,0
tmax_mean,0
prec_mean,0
hrmin_mean,0
hrmed_mean,0
hrmax_mean,0
velmed_mean,0
presmin_mean,0
presmax_mean,0
tropical_nights_mean,0
warm_days_30_mean,0
anom_tmed_mean,0
